Year,avgTPA,avgTPP
2016,1975,.354
2015,1838,.350
2014,1766,.360
2013,1636,.359
2012,1213,.349
2011,1477,.358
2010,1487,.355
2009,1486,.367
2008,1485,.362
2007,1389,.358
2006,1310,.358
2005,1292,.356
2004,1224,.347
2003,1204,.349
2002,1209,.354
2001,1124,.354
2000,1125,.353
1999,658,.339
1998,1042,.346
1997,1377,.360
1996,1316,.367
1995,1255,.359
1994,811,.333
1993,734,.336
1992,626,.331
1991,586,.320
1990,541,.331
1989,537,.323
1988,410,.316
1987,388,.301
1986,274,.282
1985,257,.282
1984,195,.250
1983,185,.238
1982,187,.262
1981,166,.245
1980,227,.280